id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,class,siu.predictedDisposition,siu.score,siu.uc2e,siu.uc7e,siu.uc8e,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 10YD,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Free Look Cancel,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Apollo 93 BV,productType_RSL - Apollo 93 MVA,productType_RSL - Argus MVA,productType_RSL - Deferral,productType_RSL - Elektra 5 6 7,productType_RSL - Eleos,productType_RSL - Eleos 96 MVA,productType_RSL - Keystone,productType_RSL - Reliance Guarantee,ownerType_Organization,ownerType_Person,template_NON-FINANCIAL,template_financial-transaction,template_non-financial-transaction,no_employees
19c44a91-2e46-4d63-9958-6d506ff80b4e,-43548,-43548,-43548,-43548,-43548,-43548,-43548,-43548,51.0,21763.3,2418.15,-43548,2535342,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1a5e38cc-e294-46e6-abbe-933e6b18cbda,-43485,-43485,-43485,-43485,-43485,-43485,-43485,-43485,82.0,0.0,0.0,-43485,2672943,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
1a5e7fec-3223-47c6-b58e-726f52096e45,-43617,-43617,-43617,-43617,-43617,-43617,-43617,-43617,84.0,0.0,0.0,-43617,2460469,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
1aa8a953-22d5-4a74-ac16-158b95958973,-43513,-43513,-43513,-43513,-43513,-43513,-43513,-43513,74.0,318766.43,35373.39,-43513,2449320,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1ac04a93-65f5-4e4f-9a09-e46f91ee3c38,-43568,-43568,-43568,-43568,-43568,-43568,-43568,-43568,70.0,152775.4,0.0,-43568,2583126,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
1b4a7b41-167e-4afc-9a9f-5517eb186442,-43199,-43199,-43199,-43199,-43199,-43199,-43199,-43199,73.0,96240.01,0.0,-43199,2586910,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
1bc1416d-a0d8-48fa-8c09-5ae62b2f5e7b,-43422,-43422,-43422,-43422,-43422,-43422,-43422,-43422,83.0,40545.2,0.0,-43422,2457930,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1bd47a9b-afb4-467b-90db-7056f70e91da,-43417,-43417,-43417,-43417,-43417,-43417,-43417,-43417,56.0,206666.26,16071.34,-43417,2508331,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2
1c26e207-45ee-477b-934a-336afd1f489d,-43857,-43857,-43857,-43857,-43857,-43857,-43857,-43857,55.0,37152.22,4128.02,-43857,2485967,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1d705e85-ddcf-47d7-bf67-f04e56877757,-43299,-43299,-43299,-43299,-43299,-43299,-43299,-43299,75.0,330650.62,0.0,-43299,2585509,consistent,1,0.1666666666666666,0.5,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
