,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,siu,siu.uc2e,siu.uc7e,siu.uc8e,siu.eligibleHypothesis,siu.score,siu.predictedDisposition,template
86,ATMIE21162,application,application-ATMIE21162,['BDB9901801'],['WebServices'],226,OH,ATMIE21162,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
87,ATMIE21163,application,application-ATMIE21163,['BDB0005379'],['WebServices'],226,CT,ATMIE21163,,Submitted,2021-10-23T00:00:00.0000000,2021-10-23T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,1900-01-01T00:00:00.0000000,2021-10-23T00:00:00.0000000,2021-10-29T00:00:00.0000000,24000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
88,ATMIE21164,application,application-ATMIE21164,['BDB9901267'],['WebServices'],226,GA,ATMIE21164,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
89,ATMIE21165,application,application-ATMIE21165,['BDB9901450'],['WebServices'],226,WV,ATMIE21165,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,Direct Transfer,,2021-10-27T00:00:00.0000000,2021-10-29T00:00:00.0000000,63435.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
90,ATMIE21166,application,application-ATMIE21166,['BDB9901268'],['WebServices'],226,VA,ATMIE21166,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
91,ATMIE21167,application,application-ATMIE21167,['BDB9901286'],['WebServices'],226,WV,ATMIE21167,,Submitted,2021-10-12T00:00:00.0000000,2021-10-12T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-12T00:00:00.0000000,2021-10-29T00:00:00.0000000,150000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
92,ATMIE21168,application,application-ATMIE21168,['BDB0004012'],['WebServices'],226,NJ,ATMIE21168,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-27T00:00:00.0000000,,10000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
93,ATMIE21169,application,application-ATMIE21169,['BDB9907211'],['WebServices'],226,OH,ATMIE21169,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,Direct Transfer,,2021-10-28T00:00:00.0000000,,21593.04,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
94,ATMIE21170,application,application-ATMIE21170,['BDB0002348'],['WebServices'],226,TX,ATMIE21170,,Submitted,2021-10-29T00:00:00.0000000,2021-10-29T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-29T00:00:00.0000000,,29995.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
95,ATMIE21171,application,application-ATMIE21171,['BDB9901467'],['WebServices'],226,TN,ATMIE21171,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,Direct Transfer,,2021-10-28T00:00:00.0000000,2021-10-29T00:00:00.0000000,51032.62,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
96,ATMIE21172,application,application-ATMIE21172,['BDB0012982'],['WebServices'],226,KY,ATMIE21172,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-27T00:00:00.0000000,,20000.0,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
97,ATMIE21173,application,application-ATMIE21173,['BDB9900429'],['WebServices'],226,AK,ATMIE21173,,Submitted,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,E-App,RSL - Eleos,Person,,1900-01-01T00:00:00.0000000,2021-10-28T00:00:00.0000000,2021-10-28T00:00:00.0000000,,,,,0.0,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,application
